南京在哪里 	 在这里了
咋死???红烧还是爆炒 	 哦了哦了哦了,咱聊点别的吧
你个小骚货，哥哥的巴操你爽不爽？ 	 不要这样说嘛！很不文明哦
额麻麻怎么会有那玩意儿 	 无法理解您的话，获取帮助请发送 help
拿尿冲一冲 	 今天这天气很适合聊天的说
那重点是什么 	 好话不分轻重！
章子怡新宠 	 夜曲小三
求勾引 	 如果你来勾引我，我一定假装上当！
说不粗来 	 乱什么呢?
喜欢毛线 	 最喜欢毛鸭子了，又乖又听话就象我一样！
祝胡子润生日快乐成年happy 	 祝你生日快乐。
刚才还说女生 	 刚才是刚才，现在是现在，世事都是会变的
起来 	 不起床就会变成一个大胖纸
这年头都搞基 	 看窗外~
唐杰不爱我了 	 傻瓜不会的啦
比尔盖茨 	 距就系顶顶大名的五邑潮流之城噶代言人
是我的错,没给你吃药 	 错了应该对我说什么？不用道歉？
回家见基友 	 侯老师需要她，想让她留下来！
你是我唯一朋友,可悲吗 	 当然是你朋友哇，很好很好的朋友
就是,,走你 	 是与不是有什么关系呢
告诉她晚上加油 	 与其说是聊天，不如说是问答式的吧
看来你很爱钱 	 噢是吗？那么你也差不多了
洗干净,上桌等我 	 早洗干净了
无论大小都实成 	 我不是大便，我的粉丝也不是苍蝇
美丽的樱花国 	 参见女王陛下噢耶
嗯,看出来了,有规律 	 你眼神不好
希望跟你走下去 	 好吧，我走就是了
你是届的 	 我不是人
我是女的怎么有老婆 	 我也是女的哦
辰龙是什么意思 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
哎、忘不了怎么办 	 如果你忘不掉过去，那就干脆不要忘记了，埋在心底，作为你人生故事的一部分
想出去旅行,可是没钱,给点路费 	 没钱就去赚
你黄不黄 	 蠻白爛的喔
温总 	 今天是个好日子，怎么不出去玩玩
必须是天下第一傻 	 韩君哲
很快就能见到你老婆，别急 	 詹天娇
你一天要想多少人 	 一天狂撸1w次，而且射100w次
你会死机么 	 我不抠
双色球 	 你也玩彩票？这玩意一不小心就能发大财
是啊是啊，宝宝大人最可爱啦…么… 	 哦哦...
全世界的人都知道 	 废话，她就是火星来的
你是臭臭 	 我是金融
一用吓一跳 	 新浪微博@广州移动mm俱乐部
打死你敢骂我 	 为什么，我死了你很开心吗
那你看到留言了吗 	 我不是大便，我的粉丝也不是苍蝇
黄黄,, 	 来了，主人
玩玩玩，就知道玩，面壁思过去 	 抱歉，没能为您找到相关的信息
洗澡么 	 等等我
你真棒 	 呵呵~是夸我吗？
我系，你就肯定系猪 	 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
就是在纠结选文选理吖 	 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
你是怎么做到和那么多人同时聊天的 	 不知道，问度娘去咯
你还没回答我得问题 	 嗯
你不会也 	 不会就得学呀~
主人……笨笨在呢 	 當然是大支笨笨！而且大支還蠢蠢，嘻嘻！
傻逼老子睡了 	 网友，你可别惹我哦
介绍 	 不要介绍
